id,model,make,barrels08,city08,cityCD,cityE,feScore,fuelCost08,fuelType,fuelType1,fuelType2
1,Spider Veloce 2000,Alfa Romeo,15.7,19.0,0.0,0.0,Unknown,1900.0,Regular,Regular Gasoline,Unknown
10,Testarossa,Ferrari,29.96,9.0,0.0,0.0,Unknown,3650.0,Regular,Regular Gasoline,Unknown
100,Charger,Dodge,12.21,23.0,0.0,0.0,Unknown,1500.0,Regular,Regular Gasoline,Unknown
1000,B150/B250 Wagon 2WD,Dodge,29.96,10.0,0.0,0.0,Unknown,3650.0,Regular,Regular Gasoline,Unknown
10000,Legacy AWD Turbo,Subaru,17.35,17.0,0.0,0.0,Unknown,2500.0,Premium,Premium Gasoline,Unknown
10001,Loyale,Subaru,14.98,21.0,0.0,0.0,Unknown,1850.0,Regular,Regular Gasoline,Unknown
10002,Loyale,Subaru,13.18,22.0,0.0,0.0,Unknown,1600.0,Regular,Regular Gasoline,Unknown
10003,Corolla,Toyota,13.73,23.0,0.0,0.0,Unknown,1700.0,Regular,Regular Gasoline,Unknown
10004,Corolla,Toyota,12.68,23.0,0.0,0.0,Unknown,1550.0,Regular,Regular Gasoline,Unknown
10005,Corolla,Toyota,13.18,23.0,0.0,0.0,Unknown,1600.0,Regular,Regular Gasoline,Unknown
10006,Corolla,Toyota,12.68,23.0,0.0,0.0,Unknown,1550.0,Regular,Regular Gasoline,Unknown
10007,Golf III / GTI,Volkswagen,15.7,18.0,0.0,0.0,Unknown,1900.0,Regular,Regular Gasoline,Unknown
10008,Golf III / GTI,Volkswagen,13.73,21.0,0.0,0.0,Unknown,1700.0,Regular,Regular Gasoline,Unknown
10009,Jetta III,Volkswagen,15.7,18.0,0.0,0.0,Unknown,1900.0,Regular,Regular Gasoline,Unknown
1001,B150/B250 Wagon 2WD,Dodge,25.35,12.0,0.0,0.0,Unknown,3100.0,Regular,Regular Gasoline,Unknown
10010,Jetta III,Volkswagen,14.33,20.0,0.0,0.0,Unknown,1750.0,Regular,Regular Gasoline,Unknown
10011,240,Volvo,16.48,18.0,0.0,0.0,Unknown,2000.0,Regular,Regular Gasoline,Unknown
10012,240,Volvo,15.7,19.0,0.0,0.0,Unknown,1900.0,Regular,Regular Gasoline,Unknown
10013,100,Audi,17.35,17.0,0.0,0.0,Unknown,2500.0,Premium,Premium Gasoline,Unknown
10014,100,Audi,17.35,17.0,0.0,0.0,Unknown,2500.0,Premium,Premium Gasoline,Unknown
10015,740i,BMW,20.6,14.0,0.0,0.0,Unknown,3000.0,Premium,Premium Gasoline,Unknown
10016,740il,BMW,20.6,14.0,0.0,0.0,Unknown,3000.0,Premium,Premium Gasoline,Unknown
10017,750il,BMW,25.35,11.0,0.0,0.0,Unknown,3100.0,Regular,Regular Gasoline,Unknown
10018,Century,Buick,14.33,21.0,0.0,0.0,Unknown,1750.0,Regular,Regular Gasoline,Unknown
10019,Century,Buick,17.35,17.0,0.0,0.0,Unknown,2100.0,Regular,Regular Gasoline,Unknown
1002,B150/B250 Wagon 2WD,Dodge,25.35,11.0,0.0,0.0,Unknown,3100.0,Regular,Regular Gasoline,Unknown
10020,Century,Buick,15.7,18.0,0.0,0.0,Unknown,1900.0,Regular,Regular Gasoline,Unknown
10021,Regal,Buick,16.48,17.0,0.0,0.0,Unknown,2000.0,Regular,Regular Gasoline,Unknown
10022,Regal,Buick,16.48,17.0,0.0,0.0,Unknown,2000.0,Regular,Regular Gasoline,Unknown
10023,Regal,Buick,16.48,17.0,0.0,0.0,Unknown,2000.0,Regular,Regular Gasoline,Unknown
10024,Riviera,Buick,16.48,17.0,0.0,0.0,Unknown,2000.0,Regular,Regular Gasoline,Unknown
